Key,english
ClawHammerQ5,[315DCE][Quality 5][-] Claw Hammer
ClawHammerQ6,[400073][Quality 6][-] Claw Hammer
ClawHammerQ1desc,"It's Hammer Time, Demons!\n\nEntity/Block Damage: 10/20\nRepair Amount: 250\nHarvest: 20%\nRange: 3m\nSpeed: 60/minute"
ClawHammerQ2desc,"It's Hammer Time, Demons!\n\nEntity/Block Damage: 11/22\nRepair Amount: 300\nHarvest: 20%\nRange: 3m\nSpeed: 66/minute"
ClawHammerQ3desc,"It's Hammer Time, Demons!\n\nEntity/Block Damage: 12/24\nRepair Amount: 350\nHarvest: 20%\nRange: 3m\nSpeed: 72/minute"
ClawHammerQ4desc,"It's Hammer Time, Demons!\n\nEntity/Block Damage: 13/26\nRepair Amount: 400\nHarvest: 20%\nRange: 3m\nSpeed: 78/minute"
ClawHammerQ5desc,"It's Hammer Time, Demons!\n\nEntity/Block Damage: 14/28\nRepair Amount: 450\nHarvest: 20%\nRange: 3m\nSpeed: 84/minute"
ClawHammerQ6desc,"It's Hammer Time, Demons!\n\nEntity/Block Damage: 15/30\nRepair Amount: 500\nHarvest: 20%\nRange: 3m\nSpeed: 90/minute"

WrenchQ1,[9C8867][Quality 1][-] Wrench
WrenchQ2,[CF7F29][Quality 2][-] Wrench
WrenchQ3,[A2A41B][Quality 3][-] Wrench
WrenchQ4,[42C234][Quality 4][-] Wrench
WrenchQ5,[315DCE][Quality 5][-] Wrench
WrenchQ6,[400073][Quality 6][-] Wrench
WrenchQ1desc,"My profession is to slay demons, but this has thrown a wrench into the works!\n\nEntity/Block Damage: 10/40\nHarvest: 100%\nRange: 3.5m\nSpeed: 60/minute\nMod Slots: 0"
WrenchQ2desc,"My profession is to slay demons, but this has thrown a wrench into the works!\n\nEntity/Block Damage: 11/50\nHarvest: 110%\nRange: 3.5m\nSpeed: 66/minute\nMod Slots: 0"
WrenchQ3desc,"My profession is to slay demons, but this has thrown a wrench into the works!\n\nEntity/Block Damage: 12/63\nHarvest: 120%\nRange: 3.5m\nSpeed: 72/minute\nMod Slots: 1"
WrenchQ4desc,"My profession is to slay demons, but this has thrown a wrench into the works!\n\nEntity/Block Damage: 13/80\nHarvest: 130%\nRange: 3.5m\nSpeed: 78/minute\nMod Slots: 1"
WrenchQ5desc,"My profession is to slay demons, but this has thrown a wrench into the works!\n\nEntity/Block Damage: 14/100\nHarvest: 140%\nRange: 3.5m\nSpeed: 84/minute\nMod Slots: 1"
WrenchQ6desc,"My profession is to slay demons, but this has thrown a wrench into the works!\n\nEntity/Block Damage: 15/125\nHarvest: 150%\nRange: 3.5m\nSpeed: 90/minute\nMod Slots: 2"

ImpactDriverQ1,[9C8867][Quality 1][-] Impact Driver
ImpactDriverQ2,[CF7F29][Quality 2][-] Impact Driver
ImpactDriverQ3,[A2A41B][Quality 3][-] Impact Driver
ImpactDriverQ4,[42C234][Quality 4][-] Impact Driver
ImpactDriverQ5,[315DCE][Quality 5][-] Impact Driver
ImpactDriverQ6,[400073][Quality 6][-] Impact Driver
ImpactDriverQ1desc,"This should impact my progression nicely, and drive up my construction!\n\nEntity/Block Damage: 10/100\nRepair Amount: 750\nHarvest: 130%\nRange: 3.5m\nSpeed: 60/minute\nMod Slots: 0"
ImpactDriverQ2desc,"This should impact my progression nicely, and drive up my construction!\n\nEntity/Block Damage: 11/125\nRepair Amount: 900\nHarvest: 140%\nRange: 3.5m\nSpeed: 66/minute\nMod Slots: 0"
ImpactDriverQ3desc,"This should impact my progression nicely, and drive up my construction!\n\nEntity/Block Damage: 12/157\nRepair Amount: 1050\nHarvest: 150%\nRange: 3.5m\nSpeed: 72/minute\nMod Slots: 1"
ImpactDriverQ4desc,"This should impact my progression nicely, and drive up my construction!\n\nEntity/Block Damage: 13/200\nRepair Amount: 1200\nHarvest: 160%\nRange: 3.5m\nSpeed: 78/minute\nMod Slots: 1"
ImpactDriverQ5desc,"This should impact my progression nicely, and drive up my construction!\n\nEntity/Block Damage: 14/250\nRepair Amount: 1350\nHarvest: 170%\nRange: 3.5m\nSpeed: 84/minute\nMod Slots: 1"
ImpactDriverQ6desc,"This should impact my progression nicely, and drive up my construction!\n\nEntity/Block Damage: 15/312\nRepair Amount: 1500\nHarvest: 180%\nRange: 3.5m\nSpeed: 90/minute\nMod Slots: 2"

BrassKnucklesQ1,[9C8867][Quality 1][-] Brass Knuckles
BrassKnucklesQ2,[CF7F29][Quality 2][-] Brass Knuckles
BrassKnucklesQ3,[A2A41B][Quality 3][-] Brass Knuckles
BrassKnucklesQ4,[42C234][Quality 4][-] Brass Knuckles
BrassKnucklesQ5,[315DCE][Quality 5][-] Brass Knuckles
BrassKnucklesQ6,[400073][Quality 6][-] Brass Knuckles
BrassKnucklesQ1desc,"Better than your bare fist, punch those demons back to hell from whence they came!\n\nEntity Damage: 10\nRange: 2m\nSpeed: 100/minute\nMod Slots: 0"
BrassKnucklesQ2desc,"Better than your bare fist, punch those demons back to hell from whence they came!\n\nEntity Damage: 11\nRange: 2m\nSpeed: 110/minute\nMod Slots: 0"
BrassKnucklesQ3desc,"Better than your bare fist, punch those demons back to hell from whence they came!\n\nEntity Damage: 12\nRange: 2m\nSpeed: 120/minute\nMod Slots: 1"
BrassKnucklesQ4desc,"Better than your bare fist, punch those demons back to hell from whence they came!\n\nEntity Damage: 13\nRange: 2m\nSpeed: 130/minute\nMod Slots: 1"
BrassKnucklesQ5desc,"Better than your bare fist, punch those demons back to hell from whence they came!\n\nEntity Damage: 14\nRange: 2m\nSpeed: 140/minute\nMod Slots: 1"
BrassKnucklesQ6desc,"Better than your bare fist, punch those demons back to hell from whence they came!\n\nEntity Damage: 15\nRange: 2m\nSpeed: 150/minute\nMod Slots: 2"

CombatKnifeQ1,[9C8867][Quality 1][-] Combat Knife
CombatKnifeQ2,[CF7F29][Quality 2][-] Combat Knife
CombatKnifeQ3,[A2A41B][Quality 3][-] Combat Knife
CombatKnifeQ4,[42C234][Quality 4][-] Combat Knife
CombatKnifeQ5,[315DCE][Quality 5][-] Combat Knife
CombatKnifeQ6,[400073][Quality 6][-] Combat Knife
CombatKnifeQ1desc,"Better than your bare fist, rip and tear those demons back to hell from whence they came!\n\nEntity Damage: 10\nButcher: 100%\nRange: 2.25m\nSpeed: 120/minute\nMod Slots: 0"
CombatKnifeQ2desc,"Better than your bare fist, rip and tear those demons back to hell from whence they came!\n\nEntity Damage: 11\nButcher: 100%\nRange: 2.25m\nSpeed: 132/minute\nMod Slots: 0"
CombatKnifeQ3desc,"Better than your bare fist, rip and tear those demons back to hell from whence they came!\n\nEntity Damage: 12\nButcher: 100%\nRange: 2.25m\nSpeed: 144/minute\nMod Slots: 1"
CombatKnifeQ4desc,"Better than your bare fist, rip and tear those demons back to hell from whence they came!\n\nEntity Damage: 13\nButcher: 100%\nRange: 2.25m\nSpeed: 156/minute\nMod Slots: 1"
CombatKnifeQ5desc,"Better than your bare fist, rip and tear those demons back to hell from whence they came!\n\nEntity Damage: 14\nButcher: 100%\nRange: 2.25m\nSpeed: 168/minute\nMod Slots: 1"
CombatKnifeQ6desc,"Better than your bare fist, rip and tear those demons back to hell from whence they came!\n\nEntity Damage: 15\nButcher: 100%\nRange: 2.25m\nSpeed: 180/minute\nMod Slots: 2"

HandlebarsQ1,[9C8867][Quality 1][-] Handlebars
HandlebarsQ2,[CF7F29][Quality 2][-] Handlebars
HandlebarsQ3,[A2A41B][Quality 3][-] Handlebars
HandlebarsQ4,[42C234][Quality 4][-] Handlebars
HandlebarsQ5,[315DCE][Quality 5][-] Handlebars
HandlebarsQ6,[400073][Quality 6][-] Handlebars

ChainsawQ1,[9C8867][Quality 1][-] Chainsaw
ChainsawQ2,[CF7F29][Quality 2][-] Chainsaw
ChainsawQ3,[A2A41B][Quality 3][-] Chainsaw
ChainsawQ4,[42C234][Quality 4][-] Chainsaw
ChainsawQ5,[315DCE][Quality 5][-] Chainsaw
ChainsawQ6,[400073][Quality 6][-] Chainsaw
ChainsawQ1desc,"Runs on good old petroleum. Go find some meat!\n\nEntity/Block Damage: 10/32\nHarvest: 130%\nButcher: 100%\nRange: 2.5m\nSpeed: 600/minute\nMod Slots: 0\n\n[FF4F00]Load this with Dummy Petrol[-]"
ChainsawQ2desc,"Runs on good old petroleum. Go find some meat!\n\nEntity/Block Damage: 11/48\nHarvest: 140%\nButcher: 100%\nRange: 2.5m\nSpeed: 630/minute\nMod Slots: 0\n\n[FF4F00]Load this with Dummy Petrol[-]"
ChainsawQ3desc,"Runs on good old petroleum. Go find some meat!\n\nEntity/Block Damage: 12/64\nHarvest: 150%\nButcher: 100%\nRange: 2.5m\nSpeed: 660/minute\nMod Slots: 1\n\n[FF4F00]Load this with Dummy Petrol[-]"
ChainsawQ4desc,"Runs on good old petroleum. Go find some meat!\n\nEntity/Block Damage: 13/80\nHarvest: 160%\nButcher: 100%\nRange: 2.5m\nSpeed: 690/minute\nMod Slots: 1\n\n[FF4F00]Load this with Dummy Petrol[-]"
ChainsawQ5desc,"Runs on good old petroleum. Go find some meat!\n\nEntity/Block Damage: 14/96\nHarvest: 170%\nButcher: 100%\nRange: 2.5m\nSpeed: 720/minute\nMod Slots: 1\n\n[FF4F00]Load this with Dummy Petrol[-]"
ChainsawQ6desc,"Runs on good old petroleum. Go find some meat!\n\nEntity/Block Damage: 15/128\nHarvest: 180%\nButcher: 100%\nRange: 2.5m\nSpeed: 750/minute\nMod Slots: 2\n\n[FF4F00]Load this with Dummy Petrol[-]"

CompoundCrossbowQ1,[9C8867][Quality 1][-] Compound Crossbow
CompoundCrossbowQ2,[CF7F29][Quality 2][-] Compound Crossbow
CompoundCrossbowQ3,[A2A41B][Quality 3][-] Compound Crossbow
CompoundCrossbowQ4,[42C234][Quality 4][-] Compound Crossbow
CompoundCrossbowQ5,[315DCE][Quality 5][-] Compound Crossbow
CompoundCrossbowQ6,[400073][Quality 6][-] Compound Crossbow
CompoundCrossbowQ1desc,"Not as powerful as a shotgun, but has more range and accuracy.\n\nEntity Damage: 40\nRange: 60m\nRoF: 40/minute\nVelocity: 100m/s\nMod Slots: 0"
CompoundCrossbowQ2desc,"Not as powerful as a shotgun, but has more range and accuracy.\n\nEntity Damage: 44\nRange: 66m\nRoF: 42/minute\nVelocity: 105m/s\nMod Slots: 0"
CompoundCrossbowQ3desc,"Not as powerful as a shotgun, but has more range and accuracy.\n\nEntity Damage: 48\nRange: 72m\nRoF: 44/minute\nVelocity: 110m/s\nMod Slots: 1"
CompoundCrossbowQ4desc,"Not as powerful as a shotgun, but has more range and accuracy.\n\nEntity Damage: 52\nRange: 78m\nRoF: 46/minute\nVelocity: 115m/s\nMod Slots: 1"
CompoundCrossbowQ5desc,"Not as powerful as a shotgun, but has more range and accuracy.\n\nEntity Damage: 56\nRange: 84m\nRoF: 48/minute\nVelocity: 120m/s\nMod Slots: 1"
CompoundCrossbowQ6desc,"Not as powerful as a shotgun, but has more range and accuracy.\n\nEntity Damage: 60\nRange: 90m\nRoF: 50/minute\nVelocity: 125m/s\nMod Slots: 2"
CompoundCrossbowQ2Unlocked,Unlocked [CF7F29][Quality 2][-] Compound Crossbow!
CompoundCrossbowQ3Unlocked,Unlocked [A2A41B][Quality 3][-] Compound Crossbow!
CompoundCrossbowQ4Unlocked,Unlocked [42C234][Quality 4][-] Compound Crossbow!
CompoundCrossbowQ5Unlocked,Unlocked [315DCE][Quality 5][-] Compound Crossbow!
CompoundCrossbowQ6Unlocked,Unlocked [400073][Quality 6][-] Compound Crossbow!

CrossbowBoltDM,Crossbow Ammo
CrossbowBoltDMdesc,"Base Entity Damage: 40.\n\nStacks to 40.\nFinding backpacks will increase the stack size, up to 200."

HandgunQ1,[9C8867][Quality 1][-] Handgun
HandgunQ2,[CF7F29][Quality 2][-] Handgun
HandgunQ3,[A2A41B][Quality 3][-] Handgun
HandgunQ4,[42C234][Quality 4][-] Handgun
HandgunQ5,[315DCE][Quality 5][-] Handgun
HandgunQ6,[400073][Quality 6][-] Handgun
HandgunQ1desc,"Better than nothing, effective against the lesser demons.\n\nEntity Damage: 12\nRange: 40m\nRoF: 150/minute\nMod Slots: 0"
HandgunQ2desc,"Better than nothing, effective against the lesser demons.\n\nEntity Damage: 13\nRange: 44m\nRoF: 157/minute\nMod Slots: 0"
HandgunQ3desc,"Better than nothing, effective against the lesser demons.\n\nEntity Damage: 14\nRange: 48m\nRoF: 164/minute\nMod Slots: 1"
HandgunQ4desc,"Better than nothing, effective against the lesser demons.\n\nEntity Damage: 15\nRange: 52m\nRoF: 171/minute\nMod Slots: 1"
HandgunQ5desc,"Better than nothing, effective against the lesser demons.\n\nEntity Damage: 16\nRange: 56m\nRoF: 178/minute\nMod Slots: 2"
HandgunQ6desc,"Better than nothing, effective against the lesser demons.\n\nEntity Damage: 18\nRange: 60m\nRoF: 185/minute\nMod Slots: 2\n[400073]Penetrate 1 extra target[-]"
HandgunQ2Unlocked,Unlocked [CF7F29][Quality 2][-] Handgun!
HandgunQ3Unlocked,Unlocked [A2A41B][Quality 3][-] Handgun!
HandgunQ4Unlocked,Unlocked [42C234][Quality 4][-] Handgun!
HandgunQ5Unlocked,Unlocked [315DCE][Quality 5][-] Handgun!
HandgunQ6Unlocked,Unlocked [400073][Quality 6][-] Handgun!

9mmBulletDM,Handgun Ammo
9mmBulletDMdesc,"Base Entity Damage: 12.\n\nStacks to 100.\nFinding backpacks will increase the stack size, up to 500."

PumpShotgunQ1,[9C8867][Quality 1][-] Pump Shotgun
PumpShotgunQ2,[CF7F29][Quality 2][-] Pump Shotgun
PumpShotgunQ3,[A2A41B][Quality 3][-] Pump Shotgun
PumpShotgunQ4,[42C234][Quality 4][-] Pump Shotgun
PumpShotgunQ5,[315DCE][Quality 5][-] Pump Shotgun
PumpShotgunQ6,[400073][Quality 6][-] Pump Shotgun
PumpShotgunQ1desc,"Now we're talking! Pump action sure is mind-blowing!\n\nEntity Damage: 9 x8 pellets\nRange: 40m\nSpread: 8 degrees\nRoF: 55/minute\nMod Slots: 0"
PumpShotgunQ2desc,"Now we're talking! Pump action sure is mind-blowing!\n\nEntity Damage: 10 x8 pellets\nRange: 44m\nSpread: 7.6 degrees\nRoF: 57/minute\nMod Slots: 0"
PumpShotgunQ3desc,"Now we're talking! Pump action sure is mind-blowing!\n\nEntity Damage: 11 x8 pellets\nRange: 48m\nSpread: 7.2 degrees\nRoF: 59/minute\nMod Slots: 1"
PumpShotgunQ4desc,"Now we're talking! Pump action sure is mind-blowing!\n\nEntity Damage: 12 x8 pellets\nRange: 52m\nSpread: 6.8 degrees\nRoF: 61/minute\nMod Slots: 1"
PumpShotgunQ5desc,"Now we're talking! Pump action sure is mind-blowing!\n\nEntity Damage: 13 x8 pellets\nRange: 56m\nSpread: 6.4 degrees\nRoF: 63/minute\nMod Slots: 2"
PumpShotgunQ6desc,"Now we're talking! Pump action sure is mind-blowing!\n\nEntity Damage: 14 x8 pellets\nRange: 60m\nSpread: 6.0 degrees\nRoF: 65/minute\nMod Slots: 2\n[400073]Penetrate 1 extra target[-]"

SuperShotgunQ1,[9C8867][Quality 1][-] Super Shotgun
SuperShotgunQ2,[CF7F29][Quality 2][-] Super Shotgun
SuperShotgunQ3,[A2A41B][Quality 3][-] Super Shotgun
SuperShotgunQ4,[42C234][Quality 4][-] Super Shotgun
SuperShotgunQ5,[315DCE][Quality 5][-] Super Shotgun
SuperShotgunQ6,[400073][Quality 6][-] Super Shotgun
SuperShotgunQ1desc,"Double the barrels, for double the fun! There's no shortage of red paint now!\n\nEntity Damage: 9 x20 pellets\nRange: 40m\nSpread: 12 degrees\nRoF: 40/minute\nMod Slots: 0"
SuperShotgunQ2desc,"Double the barrels, for double the fun! There's no shortage of red paint now!\n\nEntity Damage: 10 x20 pellets\nRange: 44m\nSpread: 11.4 degrees\nRoF: 42/minute\nMod Slots: 0"
SuperShotgunQ3desc,"Double the barrels, for double the fun! There's no shortage of red paint now!\n\nEntity Damage: 11 x20 pellets\nRange: 48m\nSpread: 10.8 degrees\nRoF: 44/minute\nMod Slots: 1"
SuperShotgunQ4desc,"Double the barrels, for double the fun! There's no shortage of red paint now!\n\nEntity Damage: 12 x20 pellets\nRange: 52m\nSpread: 10.2 degrees\nRoF: 46/minute\nMod Slots: 1"
SuperShotgunQ5desc,"Double the barrels, for double the fun! There's no shortage of red paint now!\n\nEntity Damage: 13 x20 pellets\nRange: 56m\nSpread: 9.6 degrees\nRoF: 48/minute\nMod Slots: 2"
SuperShotgunQ6desc,"Double the barrels, for double the fun! There's no shortage of red paint now!\n\nEntity Damage: 14 x20 pellets\nRange: 60m\nSpread: 9 degrees\nRoF: 50/minute\nMod Slots: 2\n[400073]Penetrate 1 extra target[-]"
ShotgunQ2Unlocked,Unlocked [CF7F29][Quality 2][-] Shotguns!
ShotgunQ3Unlocked,Unlocked [A2A41B][Quality 3][-] Shotguns!
ShotgunQ4Unlocked,Unlocked [42C234][Quality 4][-] Shotguns!
ShotgunQ5Unlocked,Unlocked [315DCE][Quality 5][-] Shotguns!
ShotgunQ6Unlocked,Unlocked [400073][Quality 6][-] Shotguns!

ShotgunShellDM,Shotgun Ammo
ShotgunShellDMdesc,"Base Entity Damage: 9 per pellet.\n\nStacks to 60.\nFinding backpacks will increase the stack size, up to 300."

ChaingunQ1,[9C8867][Quality 1][-] Chaingun
ChaingunQ2,[CF7F29][Quality 2][-] Chaingun
ChaingunQ3,[A2A41B][Quality 3][-] Chaingun
ChaingunQ4,[42C234][Quality 4][-] Chaingun
ChaingunQ5,[315DCE][Quality 5][-] Chaingun
ChaingunQ6,[400073][Quality 6][-] Chaingun
ChaingunQ1desc,"It's spraying lead, hallelujah it's spraying lead!\n\nEntity Damage: 10\nRange: 40m\nSpread: 4 degrees\nRoF: 600/minute\nMod Slots: 0"
ChaingunQ2desc,"It's spraying lead, hallelujah it's spraying lead!\n\nEntity Damage: 11\nRange: 44m\nSpread: 3.8 degrees\nRoF: 630/minute\nMod Slots: 0"
ChaingunQ3desc,"It's spraying lead, hallelujah it's spraying lead!\n\nEntity Damage: 12\nRange: 48m\nSpread: 3.6 degrees\nRoF: 660/minute\nMod Slots: 1"
ChaingunQ4desc,"It's spraying lead, hallelujah it's spraying lead!\n\nEntity Damage: 13\nRange: 52m\nSpread: 3.4 degrees\nRoF: 690/minute\nMod Slots: 1"
ChaingunQ5desc,"It's spraying lead, hallelujah it's spraying lead!\n\nEntity Damage: 14\nRange: 56m\nSpread: 3.2 degrees\nRoF: 720/minute\nMod Slots: 2"
ChaingunQ6desc,"It's spraying lead, hallelujah it's spraying lead!\n\nEntity Damage: 15\nRange: 60m\nSpread: 3 degrees\nRoF: 750/minute\nMod Slots: 2\n[400073]Penetrate 1 extra target[-]"
ChaingunQ2Unlocked,Unlocked [CF7F29][Quality 2][-] Chaingun!
ChaingunQ3Unlocked,Unlocked [A2A41B][Quality 3][-] Chaingun!
ChaingunQ4Unlocked,Unlocked [42C234][Quality 4][-] Chaingun!
ChaingunQ5Unlocked,Unlocked [315DCE][Quality 5][-] Chaingun!
ChaingunQ6Unlocked,Unlocked [400073][Quality 6][-] Chaingun!

762mmBulletDM,Chaingun Ammo
762mmBulletDMdesc,"Base Entity Damage: 10.\n\nStacks to 300.\nFinding backpacks will increase the stack size, up to 1500."

RocketLauncherQ1,[9C8867][Quality 1][-] Rocket Launcher
RocketLauncherQ2,[CF7F29][Quality 2][-] Rocket Launcher
RocketLauncherQ3,[A2A41B][Quality 3][-] Rocket Launcher
RocketLauncherQ4,[42C234][Quality 4][-] Rocket Launcher
RocketLauncherQ5,[315DCE][Quality 5][-] Rocket Launcher
RocketLauncherQ6,[400073][Quality 6][-] Rocket Launcher
RocketLauncherQ1desc,"Perfect for crowd control, what a blast! Caution, self-inflicted death is non-refundable!\n\nImpact Entity/Block Damage: 100/20\nExplosion Entity/Block Damage: 100/20\nRadius: 5m\nRoF: 60/minute\nMod Slots: 0\n\n[FF4F00]Load this with Dummy Rockets[-]"
RocketLauncherQ2desc,"Perfect for crowd control, what a blast! Caution, self-inflicted death is non-refundable!\n\nImpact Entity/Block Damage: 110/20\nExplosion Entity/Block Damage: 110/20\nRadius: 5m\nRoF: 63/minute\nMod Slots: 0\n\n[FF4F00]Load this with Dummy Rockets[-]"
RocketLauncherQ3desc,"Perfect for crowd control, what a blast! Caution, self-inflicted death is non-refundable!\n\nImpact Entity/Block Damage: 120/20\nExplosion Entity/Block Damage: 120/20\nRadius: 5m\nRoF: 66/minute\nMod Slots: 1\n\n[FF4F00]Load this with Dummy Rockets[-]"
RocketLauncherQ4desc,"Perfect for crowd control, what a blast! Caution, self-inflicted death is non-refundable!\n\nImpact Entity/Block Damage: 130/20\nExplosion Entity/Block Damage: 130/20\nRadius: 5m\nRoF: 69/minute\nMod Slots: 1\n\n[FF4F00]Load this with Dummy Rockets[-]"
RocketLauncherQ5desc,"Perfect for crowd control, what a blast! Caution, self-inflicted death is non-refundable!\n\nImpact Entity/Block Damage: 140/20\nExplosion Entity/Block Damage: 140/20\nRadius: 5m\nRoF: 72/minute\nMod Slots: 1\n\n[FF4F00]Load this with Dummy Rockets[-]"
RocketLauncherQ6desc,"Perfect for crowd control, what a blast! Caution, self-inflicted death is non-refundable!\n\nImpact Entity/Block Damage: 150/20\nExplosion Entity/Block Damage: 150/20\nRadius: 5m\nRoF: 75/minute\nMod Slots: 2\n[400073]Explosion Radius +1 metre[-]"
RocketLauncherQ2Unlocked,Unlocked [CF7F29][Quality 2][-] Rocket Launcher!
RocketLauncherQ3Unlocked,Unlocked [A2A41B][Quality 3][-] Rocket Launcher!
RocketLauncherQ4Unlocked,Unlocked [42C234][Quality 4][-] Rocket Launcher!
RocketLauncherQ5Unlocked,Unlocked [315DCE][Quality 5][-] Rocket Launcher!
RocketLauncherQ6Unlocked,Unlocked [400073][Quality 6][-] Rocket Launcher!

RocketFragDM,Rocket Frag
RocketFragDMdesc,"Base Entity/Explosion Damage: 100.\nBase Block/Explosion Damage: 20.\n\nStacks to 30.\nFinding backpacks will increase the stack size, up to 150."
DummyRocket,Dummy Rocket
DummyRocketQ6,[400073][Quality 6][-] Dummy Rocket
DummyRocketDMdesc,"Due to game limitations, you'll need to load this ammo into the Rocket Launcher for it to function."
DummyRocketQ6DMdesc,"Due to game limitations, you'll need to load this ammo into the Quality 6 Rocket Launcher for it to function."

PlasmaRifleQ1,[9C8867][Quality 1][-] Plasma Rifle
PlasmaRifleQ2,[CF7F29][Quality 2][-] Plasma Rifle
PlasmaRifleQ3,[A2A41B][Quality 3][-] Plasma Rifle
PlasmaRifleQ4,[42C234][Quality 4][-] Plasma Rifle
PlasmaRifleQ5,[315DCE][Quality 5][-] Plasma Rifle
PlasmaRifleQ6,[400073][Quality 6][-] Plasma Rifle
PlasmaRifleQ1desc,"Now we're talking! Melt the toughest of demons within seconds.\n\nEntity Damage: 25\nRange: 60m\nVelocity: 50m/s\nRoF: 500/minute\nMod Slots: 0\n\n[FF4F00]Load this with Dummy Energy Cells[-]"
PlasmaRifleQ2desc,"Now we're talking! Melt the toughest of demons within seconds.\n\nEntity Damage: 27\nRange: 60m\nVelocity: 50m/s\nRoF: 525/minute\nMod Slots: 0\n\n[FF4F00]Load this with Dummy Energy Cells[-]"
PlasmaRifleQ3desc,"Now we're talking! Melt the toughest of demons within seconds.\n\nEntity Damage: 29\nRange: 60m\nVelocity: 50m/s\nRoF: 550/minute\nMod Slots: 0\n\n[FF4F00]Load this with Dummy Energy Cells[-]"
PlasmaRifleQ4desc,"Now we're talking! Melt the toughest of demons within seconds.\n\nEntity Damage: 31\nRange: 60m\nVelocity: 50m/s\nRoF: 575/minute\nMod Slots: 0\n\n[FF4F00]Load this with Dummy Energy Cells[-]"
PlasmaRifleQ5desc,"Now we're talking! Melt the toughest of demons within seconds.\n\nEntity Damage: 33\nRange: 60m\nVelocity: 50m/s\nRoF: 600/minute\nMod Slots: 0\n\n[FF4F00]Load this with Dummy Energy Cells[-]"
PlasmaRifleQ6desc,"Now we're talking! Melt the toughest of demons within seconds.\n\nEntity Damage: 35\nRange: 60m\nVelocity: 50m/s\nRoF: 625/minute\nMod Slots: 0\n[400073]25% chance Energy Cells get recharged[-]"
PlasmaRifleQ2Unlocked,Unlocked [CF7F29][Quality 2][-] Plasma Rifle!
PlasmaRifleQ3Unlocked,Unlocked [A2A41B][Quality 3][-] Plasma Rifle!
PlasmaRifleQ4Unlocked,Unlocked [42C234][Quality 4][-] Plasma Rifle!
PlasmaRifleQ5Unlocked,Unlocked [315DCE][Quality 5][-] Plasma Rifle!
PlasmaRifleQ6Unlocked,Unlocked [400073][Quality 6][-] Plasma Rifle!

UACs_secretWeapon,UAC's Secret Weapon
UACs_secretWeapon_offer,"The UAC has sent you the location of their most powerful weapon, dig it up and show those demons who they're really up against!"
cntBuriedLootStashChestBFG, UAC's Secret Stash
cntBuriedLootStashChestBFGInsecure, UAC's Secret Stash

BFG9001,[400073][Legendary][-] Big Fucking Gun 9001
BFG9001desc,"IT'S OVER 9000!!\n\nA modified BFG9000 that requires 40 Energy Cells to fire.\nThis model is capable of firing energy for damaging only living targets, or destroying everything.\n\n[FF4F00]Load this with BFG Core[-]"
DummyBFGCellEntity,BFG Core (Entities Only)
DummyBFGCellEntitydesc,This functionality focuses on only damaging living targets. (Excluding players)\n\n600 Entity Damage.\n5 Block Damage.
DummyBFGCellBlock,BFG Core (Everything)
DummyBFGCellBlockdesc,This functionality will destroy everything in the detonated radius. (Excluding players)\n\n600 Entity Damage.\n3500 Block Damage.

FlameThrowerQ1,[9C8867][Quality 1][-] Flamethrower
FlameThrowerQ2,[CF7F29][Quality 2][-] Flamethrower
FlameThrowerQ3,[A2A41B][Quality 3][-] Flamethrower
FlameThrowerQ4,[42C234][Quality 4][-] Flamethrower
FlameThrowerQ5,[315DCE][Quality 5][-] Flamethrower
FlameThrowerQ6,[400073][Quality 6][-] Flamethrower
FlameThrowerQ1Desc,"Invite the whole neighbourhood over for a BBQ!\n\nEntity Damage: 40/s\nRange: 7m\nRoF: 300/minute\nMod Slots: 0\n\n[FF4F00]Load this with Dummy Petrol[-]"
FlameThrowerQ2Desc,"Invite the whole neighbourhood over for a BBQ!\n\nEntity Damage: 44/s\nRange: 7.7m\nRoF: 315/minute\nMod Slots: 0\n\n[FF4F00]Load this with Dummy Petrol[-]"
FlameThrowerQ3Desc,"Invite the whole neighbourhood over for a BBQ!\n\nEntity Damage: 48/s\nRange: 8.4m\nRoF: 330/minute\nMod Slots: 1\n\n[FF4F00]Load this with Dummy Petrol[-]"
FlameThrowerQ4Desc,"Invite the whole neighbourhood over for a BBQ!\n\nEntity Damage: 52/s\nRange: 9.1m\nRoF: 345/minute\nMod Slots: 1\n\n[FF4F00]Load this with Dummy Petrol[-]"
FlameThrowerQ5Desc,"Invite the whole neighbourhood over for a BBQ!\n\nEntity Damage: 56/s\nRange: 9.8m\nRoF: 360/minute\nMod Slots: 2\n\n[FF4F00]Load this with Dummy Petrol[-]"
FlameThrowerQ6Desc,"Invite the whole neighbourhood over for a BBQ!\n\nEntity Damage: 60/s\nRange: 10.5m\nRoF: 375/minute\nMod Slots: 2\n[400073]Use 20% less Petrol[-]"

PlasmaCellDM,Energy Cell
PlasmaCellDMdesc,"Base Entity Damage: 25.\n\nStacks to 400.\nFinding backpacks will increase the stack size, up to 2000."
DummyCell,Dummy Energy Cell
DummyCellDMdesc,"Due to game limitations, you'll need to load this ammo into the plasma rifle for it to function."

JunkTurretQ1,[9C8867][Quality 1][-] Junk Turret
JunkTurretQ2,[CF7F29][Quality 2][-] Junk Turret
JunkTurretQ3,[A2A41B][Quality 3][-] Junk Turret
JunkTurretQ4,[42C234][Quality 4][-] Junk Turret
